,b_a0_a,b_a0_b,k_f_a,a_a0_a,a_a0_b,b_1_a,b_1_b,k_b_a,a_a1_a,a_a1_b,a_1_a,a_1_b,b_a1_a,b_a1_b,g_Kr,RMSE,iterations,score
0,0.04970637049158707,0.06468907160029222,0.025076342280534243,0.022841864227880152,0.011434046973597265,0.006515594350409701,0.03264153630781162,0.038040774348976084,0.013651451205938395,0.036543601099747906,0.09105375518745643,0.023408902793383243,6.898373777549726e-05,0.04177227397184389,0.15240669020807615,138.0520087521717,1079,138.0520087521717
1,0.050274251954078426,0.06493530457978831,0.02500506626978445,0.02329662112372106,0.011001797800311117,0.00651623443126119,0.03264109240536046,0.037695296194995766,0.013477242105662689,0.0367951511116956,0.0910587934654486,0.023410179227770438,6.888239528475685e-05,0.04178316578518133,0.15240166875626,138.0517114678383,1655,138.0517114678383
2,0.05033384245916996,0.06501082932988267,0.02510927765664403,0.023350206726993,0.011017781721760801,0.006516109955966991,0.032641272496964954,0.03775986517125976,0.013419072182443445,0.03669572028095711,0.09105636999549374,0.023410083427451916,6.88713062262863e-05,0.04178476793595852,0.15240160673438702,138.051720891082,1290,138.051720891082
3,0.05097930310778951,0.06514176651340396,0.024932079674093766,0.023641821499112113,0.010707426214219095,0.006516534784605611,0.032640496476505555,0.037329437918142666,0.013384344370002936,0.03689214533846297,0.09106332748347651,0.023410785245220653,6.886773368004958e-05,0.041784682166118095,0.15240228443341447,138.0516420705792,1558,138.0516420705792
4,0.05060986777206521,0.0650486091845541,0.025054555193498453,0.023407538599951035,0.010935503975005667,0.006516310624051122,0.032640740505653264,0.03763135172800919,0.013441596758715117,0.03672142954155188,0.0910607824301053,0.02341043559201171,6.889501413490003e-05,0.041782002410022175,0.1524033596076952,138.05168528760117,1748,138.05168528760117
5,0.05088625822621046,0.06512518654719057,0.025040480032620913,0.02353012544045581,0.010874430559027615,0.0065160270871231826,0.032640944718164186,0.03747178896143702,0.01339756184514788,0.03670554493195865,0.09105754008381592,0.02341014131345187,6.890655888267996e-05,0.041780704848319826,0.15240493534711547,138.05167538153268,1285,138.05167538153268
6,0.05080300943849208,0.0650725206781463,0.025015607727413968,0.023452860868109916,0.010916172687434689,0.006516099096179897,0.03264086055117404,0.03750208791153715,0.01344308825456157,0.03670849134979441,0.0910593745662588,0.023410036038698175,6.892237143739548e-05,0.04177890432406223,0.1524057494497016,138.051682119629,1053,138.051682119629
7,0.05100438451012504,0.06514821675341577,0.02492906017503056,0.023655637060073398,0.010699920095964837,0.006516584203176156,0.03264043973130776,0.0373119006887714,0.013379359329239057,0.03689503228396666,0.09106391239480816,0.02341087585451262,6.886725355493078e-05,0.041784706413061264,0.15240208424876783,138.05164186092193,1685,138.05164186092193
8,0.05144944698960418,0.0652493894335822,0.024776845237112002,0.023910391694210418,0.010411111160058198,0.006517093680124375,0.03263971906817399,0.03699245696533009,0.013341027527185264,0.03711611582735485,0.09107016028463018,0.02341173785883566,6.883611904396716e-05,0.04178769182214652,0.15240036896370318,138.05169214115983,1080,138.05169214115983
9,0.05083076399170373,0.0651423514226402,0.025092044787580908,0.023537449050756474,0.010891833323282451,0.006516046874062169,0.03264099147042373,0.037521206588893075,0.013366444692498283,0.03667533926713639,0.09105706137946872,0.023410090491604692,6.88909819524562e-05,0.041782636474816684,0.1524045169733038,138.05168662715366,1096,138.05168662715366
