,model_class,dataset_index,fix_param,protocol,p1,p2,p3,p4,p5,p6,p7,p8,Gkr,score,well
0,Beattie,0,8,staircaseramp1,0.00022576241345961524,0.06987283611931813,3.4341799615039264e-05,0.054633483211314615,0.08721982175822557,0.008737029861491172,0.005145317971073007,0.031737848426133,0.1524,0.03012671398534334,0
1,Beattie,0,8,staircaseramp1,0.00021435102146520371,0.05831843398854708,2.823652772220842e-05,0.05842662903812318,0.09486069451401453,0.008458335352778071,0.0028313055336234246,0.027940828144579842,0.3048,0.040522744475314794,0
2,Beattie,0,8,staircaseramp1,0.00020690070491613587,0.05487896232484342,2.5760364818521994e-05,0.060459450293307834,0.09860106391171088,0.008524633804853254,0.0014818791257352403,0.026226560765297616,0.6096,0.04768900013543904,0
3,Beattie,0,8,staircaseramp1,0.0002152606239858094,0.08504767660354025,3.6804451506897817e-05,0.05112804541429452,0.08469536815325032,0.01039864960607066,0.00894009179452739,0.03504845690938401,0.08753081465077406,0.0541183241301927,0
4,Beattie,0,8,staircaseramp1,0.0001945556928736317,0.09354211080592217,1.6838263839679637e-05,0.05296733499796028,0.0788021966523247,0.017278365268651914,0.022773719834736816,0.03647211928739936,0.0381,0.1300054108735727,0
5,Beattie,0,8,sis,0.00022345076767177392,0.06941674868367166,3.451116578957424e-05,0.054560114730970444,0.08701854752859224,0.008737293250803106,0.005172672671794391,0.031672534737553236,0.1524,0.03601341322343513,0
6,Beattie,0,8,sis,0.00020377163716861694,0.06015853883310247,3.0247542069966845e-05,0.05806060800576786,0.0890026850671372,0.009400240205425332,0.0029380581573923434,0.027179823082701005,0.3048,0.047474082867434104,0
7,Beattie,0,8,sis,0.00019285110463935544,0.056722054219062956,2.829089680380749e-05,0.059907001724526183,0.09077266454150362,0.00953461739877394,0.0015804825398882379,0.025201133390971495,0.6096,0.05566309406563824,0
8,Beattie,0,8,sis,0.00024362195284446275,0.0811177461321412,3.5461539402931316e-05,0.05142996235493549,0.07898184272955965,0.008694023478687475,0.007572175690586931,0.03658203246254188,0.08753081465077406,0.05888123990356585,0
9,Beattie,0,8,sis,0.0002455277206515123,0.09674755202787333,1.9187686820648736e-05,0.05188066361020101,0.055071918113132924,0.010147926302434756,0.012971426400798984,0.045911358519581995,0.0381,0.13916646495682222,0
10,Beattie,0,8,spacefill19,0.00022156908500041154,0.06984138842756787,3.506588140743156e-05,0.054503303065413525,0.08634297607889559,0.008821783912674793,0.005152563505290515,0.031485562130044734,0.1524,0.06611900031080728,0
11,Beattie,0,8,spacefill19,0.00022225959579292044,0.06983335276923547,2.5684427887297815e-05,0.059810096224359614,0.09272472798020184,0.009086989466361916,0.002896802253450651,0.025625815056270308,0.3048,0.08972687488063638,0
12,Beattie,0,8,spacefill19,0.00022923732458170066,0.06989838246713519,2.3692608799000412e-05,0.061630175918935014,0.09417119677400439,0.009204548670365463,0.0014667812123942052,0.023599330654502794,0.6096,0.10563487385976504,0
13,Beattie,0,8,spacefill19,0.0002038657867153904,0.07650429672439359,3.972325694404608e-05,0.050029411024441195,0.07118331616695013,0.009573517827073004,0.0064654455473301215,0.03854951962242537,0.08753081465077406,0.10914749499575035,0
14,Beattie,0,8,spacefill19,0.00012013559760668059,0.09746975556181363,1.3184996501084347e-05,0.05450923744682034,0.04972231698207611,0.010461169424823405,0.009727079368713119,0.050597644610357144,0.0381,0.25265017161722914,0
15,Beattie,0,8,longap,0.00022370959796544004,0.07062929420672004,3.6711680329612065e-05,0.054068542113719004,0.08680718058477535,0.008668097485234217,0.005104964315668409,0.03173006598100506,0.1524,0.032147971545962516,0
16,Beattie,0,8,longap,0.0005013232180732422,0.05492595932197514,2.7698536063603607e-05,0.05714686224876877,0.1184782811050599,0.00026891271881172445,0.0023920674276615666,0.031441646639232775,0.3048,0.037474825621964206,0
17,Beattie,0,8,longap,0.0006132382536379559,0.04976899468570217,2.2713645881780416e-05,0.059275074461859166,0.13182171932237086,4.775268232536322e-10,0.001241779391856879,0.02994770993066423,0.6096,0.04139026983139091,0
18,Beattie,0,8,longap,0.00011268478579826429,0.09693624734004334,2.995136852679358e-05,0.052913905811472615,0.07037474927431246,0.012555291166468242,0.007831208225696084,0.036076134286180284,0.08753081465077406,0.06510087393632157,0
19,Beattie,0,8,longap,0.00014407251961022648,0.09898393303645366,7.11228110109896e-06,0.060168899604741505,0.07089548381510355,0.008847920855046543,0.01462623111909492,0.03925432644072373,0.0381,0.15685907389172907,0
20,Beattie,0,8,hhbrute3gstep,0.00022572836086765538,0.06989894559062709,3.477997088984921e-05,0.05452997636873556,0.08713718544477954,0.00887717318952449,0.005148785836775282,0.03161767278002209,0.1524,0.032846255978243505,0
21,Beattie,0,8,hhbrute3gstep,0.00022645166002850198,0.06758864200683166,3.052406967670571e-05,0.05864649822108692,0.08968467821115421,0.010171390216543605,0.002636092052862496,0.027129651298034418,0.3048,0.05527484921563944,0
22,Beattie,0,8,hhbrute3gstep,0.00022787633963857056,0.0659645268589769,2.9009812696868504e-05,0.0605334970686657,0.09338590782718842,0.010760476160545087,0.0013600947498683335,0.025381170290827544,0.6096,0.0676971234613901,0
23,Beattie,0,8,hhbrute3gstep,0.00022063542868502826,0.07461175511017559,3.705170761187231e-05,0.05063998485312428,0.07900102699307578,0.009002506818535124,0.008318332632053567,0.036006178984208645,0.08753081465077406,0.07686166990956629,0
24,Beattie,0,8,hhbrute3gstep,0.00017888939175249432,0.09142061880793999,3.0164181352141747e-05,0.047842405893170105,0.04948019906527619,0.014608209796145072,0.015093148631556658,0.04451142818498796,0.0381,0.18293676938640752,0
25,Beattie,0,8,wangbrute3gstep,0.00022503223425996674,0.06996985185867921,3.45511975751234e-05,0.054552132391171154,0.08628376789776623,0.008964407410767148,0.005091172229474989,0.03153058949117182,0.1524,0.030594703671978557,0
26,Beattie,0,8,wangbrute3gstep,0.0003444475665347312,0.059532026348725536,3.4211974107599326e-05,0.057512241655920025,0.08906107890117984,0.009666320893164708,0.002717978965134269,0.02684180892958047,0.3048,0.062013497670424085,0
27,Beattie,0,8,wangbrute3gstep,0.00038039038414065915,0.056853668674144264,3.328565613651274e-05,0.05914267289124729,0.09479333187049774,0.010265846299461858,0.0014418993120688427,0.024821612611277723,0.6096,0.07914675395351747,0
28,Beattie,0,8,wangbrute3gstep,8.119805037195498e-05,0.09324161456525233,2.7653237522787582e-05,0.05317002179169566,0.0791644787682535,0.009725034387078113,0.007627683363252597,0.036862369514622434,0.08753081465077406,0.09296322597970973,0
29,Beattie,0,8,wangbrute3gstep,7.682947623492903e-05,0.09374452975039162,9.416065880804848e-06,0.0580616056376133,0.0493393154856687,0.013220206188771687,0.010856082282868247,0.05578032739537611,0.0381,0.23718768535548276,0
30,Beattie,1,8,staircaseramp1,0.00022608117965040202,0.06985260243192237,3.4351180273881635e-05,0.0546356807376438,0.08679207331245499,0.008724213434069913,0.005119059461193198,0.03174978290418821,0.1524,0.030169248114275106,1
31,Beattie,1,8,staircaseramp1,0.00021466746036790215,0.0583292620055233,2.8269446225089238e-05,0.058421500347986086,0.09428341729858024,0.008451574166571633,0.0028129668131925685,0.02795421187007282,0.3048,0.040563738602271235,1
32,Beattie,1,8,staircaseramp1,0.0002072104690206701,0.05489281699536533,2.5813077848886898e-05,0.06044490748213601,0.09794876831568855,0.008516112311717833,0.0014713782483230609,0.026246478701035914,0.6096,0.04769438967228027,1
33,Beattie,1,8,staircaseramp1,0.00021565971057843357,0.08501746098182832,3.681489883616561e-05,0.05113043180266155,0.08436861316791094,0.010403172677458923,0.00890388887409517,0.03504196244503025,0.08753081465077406,0.05405041198589195,1
34,Beattie,1,8,staircaseramp1,0.0001949805322699136,0.09350858136432012,1.683931092138635e-05,0.05297410723868563,0.07859319655083734,0.017292132430026263,0.022707396372814558,0.03645185077703943,0.0381,0.12988971989037537,1
35,Beattie,1,8,sis,0.00022250683075307885,0.0694346912507659,3.4583746736701456e-05,0.054532407122981935,0.08674354177326848,0.008754222567327233,0.0051647421448019655,0.031667869505996364,0.1524,0.035952521260629686,1
36,Beattie,1,8,sis,0.00020284453499087719,0.0601576321407456,3.0332938538559726e-05,0.058025134812329696,0.08870108178027998,0.009416342845587572,0.0029349475297300023,0.027178138730271244,0.3048,0.04747760669108591,1
37,Beattie,1,8,sis,0.00019189035802427907,0.05672266073827971,2.8373799284845098e-05,0.05987181373790047,0.09048232434905495,0.009548176571094922,0.001579751304835914,0.025199273166162446,0.6096,0.05568672148090642,1
38,Beattie,1,8,sis,0.000242581839663119,0.08116531100857208,3.552433903986033e-05,0.05140713544271404,0.07876729268240286,0.00870743704914288,0.00755982384015243,0.03658120031674717,0.08753081465077406,0.05878087333386466,1
39,Beattie,1,8,sis,0.0002443740334790163,0.0968567412405828,1.9234100767177987e-05,0.051855015295438754,0.05496994010246511,0.01014776504642271,0.012958452422953754,0.04594271219049126,0.0381,0.13912686616123882,1
40,Beattie,1,8,spacefill19,0.00022188888851726663,0.06981686468976851,3.497889338793033e-05,0.05452530973443386,0.08634079241386183,0.008822127926476468,0.005147640192088741,0.03149325933985607,0.1524,0.06603416751264547,1
41,Beattie,1,8,spacefill19,0.0002226240416829754,0.06980617857074702,2.56221119505352e-05,0.0598312624551999,0.09274008051409707,0.00908130472460521,0.0028950230732205963,0.02563498403059655,0.3048,0.08968812149726108,1
42,Beattie,1,8,spacefill19,0.00022964622658870786,0.06986885486931048,2.3629054705660155e-05,0.06165384927762955,0.09420795293834844,0.00919565333595778,0.0014663171918013686,0.023609258777188467,0.6096,0.10561793851890962,1
43,Beattie,1,8,spacefill19,0.00020415240637048184,0.07647663258162143,3.9598685770824996e-05,0.05005728410337057,0.0711941572169033,0.009570951248835046,0.006458934493450977,0.038565093276225,0.08753081465077406,0.10907376420563653,1
44,Beattie,1,8,spacefill19,0.00012014693864732539,0.09747057984560978,1.3111081022950324e-05,0.05455849753765932,0.04974401068100227,0.010457923249868297,0.009712746367013282,0.05063990849650453,0.0381,0.25260125705556347,1
45,Beattie,1,8,longap,0.00022422652061677794,0.07056465404217183,3.657294685502914e-05,0.05408627065249075,0.087075036434093,0.008602791097220406,0.0051236118377643415,0.03171578458663626,0.1524,0.032072978573785556,1
46,Beattie,1,8,longap,0.0005011994904566509,0.05492435643473107,2.7565977882376705e-05,0.057164039944757335,0.11877927698554734,0.000224862776338234,0.0024012053955497097,0.031434858370219365,0.3048,0.03748074113643862,1
47,Beattie,1,8,longap,0.0006124941339423197,0.04973210243042701,2.2577373878848512e-05,0.05930617616967838,0.13215772307818144,2.6401887294260214e-11,0.0012478843261280368,0.029907931619181555,0.6096,0.04142581985392411,1
48,Beattie,1,8,longap,0.00011260714533200194,0.09693050202920159,2.996778767587489e-05,0.05289776741962562,0.07048111532914542,0.012516787281525287,0.00786384366633572,0.036071203200104054,0.08753081465077406,0.06486831670583744,1
49,Beattie,1,8,longap,0.00014385515737325697,0.09897135140219644,7.068520083170096e-06,0.0602067490931218,0.07099526823809502,0.008821948259596955,0.014694242948279103,0.03923780079785461,0.0381,0.15672301980919165,1
50,Beattie,1,8,hhbrute3gstep,0.00022607347654885886,0.06991086731809362,3.4724102131844785e-05,0.05454499600949618,0.08718344243351854,0.008859740798516317,0.005151058579587965,0.03161488680314064,0.1524,0.03286511690639008,1
51,Beattie,1,8,hhbrute3gstep,0.00022681072736285536,0.0675946134878722,3.0473361793697087e-05,0.05866079159090548,0.08975490715020293,0.01014710504541298,0.0026380153244644033,0.02713361967752215,0.3048,0.05517414678529267,1
52,Beattie,1,8,hhbrute3gstep,0.00022822901937992712,0.06597235626106647,2.8959098775105918e-05,0.0605490115296271,0.09345103625213651,0.01073557756244232,0.0013609498658467881,0.02538640713549055,0.6096,0.06760086484842576,1
53,Beattie,1,8,hhbrute3gstep,0.00022098051295979995,0.07462417677720108,3.698892283922112e-05,0.050657448575620385,0.07907192937137392,0.008980089273136921,0.008325694107722336,0.036002117120676164,0.08753081465077406,0.07693680902199578,1
54,Beattie,1,8,hhbrute3gstep,0.00017924931206991202,0.091446339565845,3.011394753808773e-05,0.04785896815340935,0.04959133322116898,0.014569674885018445,0.015132074529624437,0.04448348916861011,0.0381,0.1829580230173954,1
55,Beattie,1,8,wangbrute3gstep,0.0002248456589476715,0.06999015941575272,3.4563040175203084e-05,0.05454976190940753,0.08630057292086214,0.008977998958233238,0.005087695724948148,0.03153200530199,0.1524,0.03058809685915619,1
56,Beattie,1,8,wangbrute3gstep,0.000344182702183699,0.05955231765017966,3.422483023645204e-05,0.05750979739347004,0.08908320368145262,0.009680259799965204,0.002716804598151691,0.026839921092817746,0.3048,0.06205042011942943,1
57,Beattie,1,8,wangbrute3gstep,0.00038007321287864053,0.056876715778709466,3.330066489355303e-05,0.059139240221613945,0.09482953162410036,0.010279789339620767,0.0014415101848360909,0.024818958183190205,0.6096,0.07917499968911301,1
58,Beattie,1,8,wangbrute3gstep,8.105183913188385e-05,0.09325529695296213,2.730353820513398e-05,0.05327721857918946,0.07900275500851765,0.00975499144208747,0.0075892767729484265,0.036858989856091255,0.08753081465077406,0.09288864695845765,1
59,Beattie,1,8,wangbrute3gstep,7.690546028653875e-05,0.09375276210426708,9.399879382570224e-06,0.05807729736906131,0.04943821726475323,0.013213061348100297,0.0107708859147265,0.05603020378013912,0.0381,0.23712298995722794,1
60,Beattie,2,8,staircaseramp1,0.00022530252004733598,0.06984314540214795,3.440904490543552e-05,0.054609911216599874,0.08671697295888736,0.008727328303740602,0.005115552151893617,0.03175300721012213,0.1524,0.03016412341611346,2
61,Beattie,2,8,staircaseramp1,0.00021385468746479522,0.058313165367855725,2.832884227495127e-05,0.058387646438473155,0.09428453912507839,0.008457214950306022,0.0028146600516856615,0.02795220963361567,0.3048,0.04052339797097278,2
62,Beattie,2,8,staircaseramp1,0.0002064059584056118,0.054878093768431745,2.5864373589322457e-05,0.06041164452370954,0.09794363115120272,0.00852068448250352,0.0014724380978726856,0.026242968493371203,0.6096,0.047647040571370806,2
