,$\hat\theta_1$,$\hat\theta_2$,time_range,dataset_index,observation times
0,0.22091633334179156,1.9666366768091244,$T_1$,0,$T_1$
1,0.22318451081292537,1.9714726845204207,$T_1$,1,$T_1$
2,0.22092294002008322,1.9745620078504795,$T_1$,2,$T_1$
3,0.2168335838357046,1.9801366893478622,$T_1$,3,$T_1$
4,0.22148299339970767,1.969688992783161,$T_1$,4,$T_1$
5,0.21401331379151617,1.985384594357443,$T_1$,5,$T_1$
6,0.21829076723963112,1.9778980256178937,$T_1$,6,$T_1$
7,0.22044269869686575,1.9746635330181337,$T_1$,7,$T_1$
8,0.21438914165224654,1.983904265092381,$T_1$,8,$T_1$
9,0.21474478962565807,1.9881514228166866,$T_1$,9,$T_1$
10,0.498922539606663,1.7279744540519653,$T_2$,0,$T_2$
11,0.49043693534082744,1.7256497370506017,$T_2$,1,$T_2$
12,0.4885456826983793,1.7274850327870683,$T_2$,2,$T_2$
13,0.4881861970938424,1.7381434998579042,$T_2$,3,$T_2$
14,0.49210770022202466,1.7266817670385401,$T_2$,4,$T_2$
15,0.4840327780315172,1.7471141359048818,$T_2$,5,$T_2$
16,0.49354285237014095,1.726251284894715,$T_2$,6,$T_2$
17,0.496405219879805,1.7288806058329975,$T_2$,7,$T_2$
18,0.4874454038210321,1.7316589248163794,$T_2$,8,$T_2$
19,0.48741595015558875,1.7388761619344475,$T_2$,9,$T_2$
20,0.851980824671195,1.164965494186838,$T_3$,0,$T_3$
21,0.8283212372637412,1.1592585893049485,$T_3$,1,$T_3$
22,0.85322992026762,1.1442130585405152,$T_3$,2,$T_3$
23,0.8662614392195335,1.142185655231137,$T_3$,3,$T_3$
24,0.8508746829378675,1.1483237373131727,$T_3$,4,$T_3$
25,0.8731979129277881,1.1333113493891391,$T_3$,5,$T_3$
26,0.8518893623925122,1.148089208250781,$T_3$,6,$T_3$
27,0.8389229107236605,1.1609027446696654,$T_3$,7,$T_3$
28,0.8184088484938388,1.1708268875968169,$T_3$,8,$T_3$
29,0.8696131245431536,1.1300539445513285,$T_3$,9,$T_3$
30,0.9431111897082708,1.0685426430853788,$T_4$,0,$T_4$
31,0.9632174825764235,1.0280575530146083,$T_4$,1,$T_4$
32,0.9339068846907884,1.0423807249775705,$T_4$,2,$T_4$
33,1.0106384032050744,0.9957854232086442,$T_4$,3,$T_4$
34,0.9374517580455678,1.046763826304418,$T_4$,4,$T_4$
35,0.9681021900640209,1.0262497229610104,$T_4$,5,$T_4$
36,0.9770778834542565,1.0181093574222895,$T_4$,6,$T_4$
37,1.0567320218971725,0.9688005259610614,$T_4$,7,$T_4$
38,0.9358899915979144,1.0427929792575101,$T_4$,8,$T_4$
39,1.0427763553133353,0.9794756175517151,$T_4$,9,$T_4$
